expNumber,#,datetime,ms,Net_Sent,pgpgin,Tcp_Established,pgmajfault,OperatingSystemImpl.ProcessCpuLoad,OperatingSystemImpl.FreeSwapSpaceSize,pgalloc_dma,OperatingSystemImpl.FreePhysicalMemorySize,Cached,pgfault,Buffers,nr_active_file,nr_inactive_file,Inactive,Tcp_Listen,Net_Received,Tcp_TimeWait,Tcp_Syn,pgdeactivate,Tcp_Close,SwapFree,pgfree,Active,OperatingSystemImpl.CommittedVirtualMemorySize,MemFree,pgpgout,OperatingSystemImpl.ProcessCpuTime,pgactivate
1,1,Tue Apr 18 11:20:11 CEST 2017,1492507211359,0,929949,0,4438,0.5714285714285714,733593600,13613,199467008,178900,1466529,10900,29338,14943,443788,4,0,0,0,247674,0,716400,47130307,1283660,2547662848,192900,320416,2280000000,167553
1,2,Tue Apr 18 11:20:11 CEST 2017,1492507211459,0,930113,0,4438,0.45454545454545453,733593600,13613,192069632,181568,1467698,10920,29338,14987,446296,4,0,0,0,247674,0,716400,47130447,1291316,2547662848,182576,320416,2330000000,167555
1,3,Tue Apr 18 11:20:11 CEST 2017,1492507211559,0,930173,0,4438,0.4,733593600,13613,183021568,181568,1468737,10920,29338,14987,446296,4,0,0,0,247674,0,716400,47133243,1290304,2548830208,183320,320416,2370000000,167556
1,4,Tue Apr 18 11:20:11 CEST 2017,1492507211659,0,930857,0,4443,0.1111111111111111,733593600,13613,187338752,182324,1468973,10932,29349,15163,447000,4,0,0,0,247674,0,716400,47135082,1290436,2548830208,182824,320416,2380000000,167557
1,5,Tue Apr 18 11:20:11 CEST 2017,1492507211759,0,930857,0,4443,0.2727272727272727,733593600,13613,187179008,182324,1469154,10932,29349,15163,447000,4,0,0,0,247674,0,716400,47139911,1290436,2548830208,182792,320416,2410000000,167557
1,6,Tue Apr 18 11:20:11 CEST 2017,1492507211859,0,930857,0,4443,0.0,733593600,13613,187179008,182324,1469335,10932,29349,15163,447000,4,0,0,0,247674,0,716400,47140049,1290436,2548830208,182792,320416,2410000000,167557
1,7,Tue Apr 18 11:20:11 CEST 2017,1492507211959,0,930857,0,4443,0.2222222222222222,733593600,13613,187179008,182324,1469521,10932,29349,15163,447000,4,0,0,0,247674,0,716400,47140190,1290436,2548830208,182792,320416,2430000000,167557
1,8,Tue Apr 18 11:20:12 CEST 2017,1492507212059,0,930857,0,4443,0.2,733593600,13613,187179008,182324,1469705,10932,29349,15163,447000,4,0,0,0,247674,0,716400,47140328,1290436,2548830208,182792,320416,2450000000,167558
1,9,Tue Apr 18 11:20:12 CEST 2017,1492507212159,0,930857,0,4443,0.1111111111111111,733593600,13613,187179008,182324,1469888,10932,29349,15163,447000,4,0,0,0,247674,0,716400,47140466,1290436,2548830208,182792,320416,2460000000,167558
1,10,Tue Apr 18 11:20:12 CEST 2017,1492507212259,0,930857,0,4443,0.1,733593600,13613,187179008,182324,1470071,10932,29349,15163,447000,4,0,0,0,247674,0,716400,47140610,1290436,2548830208,182792,320416,2470000000,167558
1,11,Tue Apr 18 11:20:12 CEST 2017,1492507212359,0,930857,0,4443,0.2222222222222222,733593600,13613,187211776,182304,1470267,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47140748,1290528,2548830208,182824,320416,2490000000,167558
1,12,Tue Apr 18 11:20:12 CEST 2017,1492507212459,0,930857,0,4443,0.0,733593600,13613,187211776,182304,1470464,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47140887,1290572,2548830208,182824,320416,2490000000,167558
1,13,Tue Apr 18 11:20:12 CEST 2017,1492507212559,0,930857,0,4443,0.3,733593600,13613,187084800,182304,1470646,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47141027,1290572,2548830208,182700,320416,2520000000,167558
1,14,Tue Apr 18 11:20:12 CEST 2017,1492507212659,0,930857,0,4443,0.2,733593600,13613,187084800,182304,1470834,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47141167,1290572,2548830208,182700,320416,2540000000,167558
1,15,Tue Apr 18 11:20:12 CEST 2017,1492507212759,0,930857,0,4443,0.125,733593600,13613,187084800,182304,1471037,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47141305,1290660,2548830208,182700,320416,2550000000,167558
1,16,Tue Apr 18 11:20:12 CEST 2017,1492507212859,0,930857,0,4443,0.3333333333333333,733593600,13613,185942016,182304,1471497,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47141446,1291760,2548830208,181584,320416,2580000000,167558
1,17,Tue Apr 18 11:20:12 CEST 2017,1492507212959,0,930857,0,4443,0.1,733593600,13613,185942016,182304,1471686,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47141586,1291804,2548830208,181584,320416,2590000000,167558
1,18,Tue Apr 18 11:20:13 CEST 2017,1492507213059,0,930857,0,4443,0.1,733593600,13613,185942016,182304,1471874,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47141724,1291804,2548830208,181584,320416,2600000000,167558
1,19,Tue Apr 18 11:20:13 CEST 2017,1492507213159,0,930857,0,4443,0.125,733593600,13613,185815040,182304,1472069,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47141862,1291848,2548830208,181460,320416,2610000000,167558
1,20,Tue Apr 18 11:20:13 CEST 2017,1492507213259,0,930857,0,4443,0.3,733593600,13613,185815040,182304,1472256,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47142003,1291848,2548830208,181460,320416,2640000000,167558
1,21,Tue Apr 18 11:20:13 CEST 2017,1492507213359,0,930857,0,4443,0.0,733593600,13613,185815040,182304,1472439,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47142142,1291848,2548830208,181460,320416,2640000000,167558
1,22,Tue Apr 18 11:20:13 CEST 2017,1492507213459,0,930857,0,4443,0.2222222222222222,733593600,13613,185815040,182304,1472632,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47142634,1291892,2548830208,181428,320416,2660000000,167558
1,23,Tue Apr 18 11:20:13 CEST 2017,1492507213559,0,930857,0,4443,0.1,733593600,13613,185782272,182304,1472816,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47145585,1291892,2548830208,181428,320416,2670000000,167558
1,24,Tue Apr 18 11:20:13 CEST 2017,1492507213659,0,930857,0,4443,0.0,733593600,13613,185782272,182304,1473006,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47152022,1291936,2548830208,181428,320416,2670000000,167558
1,25,Tue Apr 18 11:20:13 CEST 2017,1492507213759,0,930857,0,4443,0.1,733593600,13613,185782272,182304,1473190,10932,29354,15167,447016,4,0,0,0,247674,0,716400,47152162,1291936,2548830208,181428,320416,2680000000,167558
