#,datetime,ms,OperatingSystemImpl.CommittedVirtualMemorySize
1,Thu Apr 13 16:18:46 CEST 2017,1492093126034,269312000
2,Thu Apr 13 16:18:46 CEST 2017,1492093126234,269316096
3,Thu Apr 13 16:18:46 CEST 2017,1492093126434,269316096
4,Thu Apr 13 16:18:46 CEST 2017,1492093126634,269316096
5,Thu Apr 13 16:18:46 CEST 2017,1492093126834,269316096
6,Thu Apr 13 16:18:47 CEST 2017,1492093127034,269316096
7,Thu Apr 13 16:18:47 CEST 2017,1492093127234,263413760
8,Thu Apr 13 16:18:47 CEST 2017,1492093127434,263413760
9,Thu Apr 13 16:18:47 CEST 2017,1492093127634,263413760
10,Thu Apr 13 16:18:47 CEST 2017,1492093127834,263413760
11,Thu Apr 13 16:18:48 CEST 2017,1492093128034,263413760
12,Thu Apr 13 16:18:48 CEST 2017,1492093128234,263413760
13,Thu Apr 13 16:18:48 CEST 2017,1492093128434,263413760
14,Thu Apr 13 16:18:48 CEST 2017,1492093128634,263430144
15,Thu Apr 13 16:18:48 CEST 2017,1492093128834,263430144
16,Thu Apr 13 16:18:49 CEST 2017,1492093129034,263430144
17,Thu Apr 13 16:18:49 CEST 2017,1492093129234,263430144
18,Thu Apr 13 16:18:49 CEST 2017,1492093129434,263430144
19,Thu Apr 13 16:18:49 CEST 2017,1492093129634,263430144
20,Thu Apr 13 16:18:49 CEST 2017,1492093129834,263270400
21,Thu Apr 13 16:18:50 CEST 2017,1492093130034,263270400
22,Thu Apr 13 16:18:50 CEST 2017,1492093130234,263270400
23,Thu Apr 13 16:18:50 CEST 2017,1492093130434,263622656
24,Thu Apr 13 16:18:50 CEST 2017,1492093130634,263622656
25,Thu Apr 13 16:18:50 CEST 2017,1492093130834,263622656
