#,datetime,ms,OperatingSystemImpl.FreeSwapSpaceSize
1,Thu Apr 13 16:18:46 CEST 2017,1492093126034,2180112384
2,Thu Apr 13 16:18:46 CEST 2017,1492093126234,2179313664
3,Thu Apr 13 16:18:46 CEST 2017,1492093126434,2179162112
4,Thu Apr 13 16:18:46 CEST 2017,1492093126634,2179305472
5,Thu Apr 13 16:18:46 CEST 2017,1492093126834,2179768320
6,Thu Apr 13 16:18:47 CEST 2017,1492093127034,2179682304
7,Thu Apr 13 16:18:47 CEST 2017,1492093127234,2185781248
8,Thu Apr 13 16:18:47 CEST 2017,1492093127434,2187620352
9,Thu Apr 13 16:18:47 CEST 2017,1492093127634,2188230656
10,Thu Apr 13 16:18:47 CEST 2017,1492093127834,2188230656
11,Thu Apr 13 16:18:48 CEST 2017,1492093128034,2191081472
12,Thu Apr 13 16:18:48 CEST 2017,1492093128234,2191278080
13,Thu Apr 13 16:18:48 CEST 2017,1492093128434,2191249408
14,Thu Apr 13 16:18:48 CEST 2017,1492093128634,2191237120
15,Thu Apr 13 16:18:48 CEST 2017,1492093128834,2190712832
16,Thu Apr 13 16:18:49 CEST 2017,1492093129034,2191323136
17,Thu Apr 13 16:18:49 CEST 2017,1492093129234,2189897728
18,Thu Apr 13 16:18:49 CEST 2017,1492093129434,2190553088
19,Thu Apr 13 16:18:49 CEST 2017,1492093129634,2190680064
20,Thu Apr 13 16:18:49 CEST 2017,1492093129834,2190778368
21,Thu Apr 13 16:18:50 CEST 2017,1492093130034,2190938112
22,Thu Apr 13 16:18:50 CEST 2017,1492093130234,2191056896
23,Thu Apr 13 16:18:50 CEST 2017,1492093130434,2191183872
24,Thu Apr 13 16:18:50 CEST 2017,1492093130634,2189479936
25,Thu Apr 13 16:18:50 CEST 2017,1492093130834,2189426688
