#,datetime,ms,OperatingSystemImpl.FreePhysicalMemorySize
1,Thu Apr 13 16:18:51 CEST 2017,1492093131300,2328047616
2,Thu Apr 13 16:18:51 CEST 2017,1492093131500,2326691840
3,Thu Apr 13 16:18:51 CEST 2017,1492093131700,2321932288
4,Thu Apr 13 16:18:51 CEST 2017,1492093131900,2321940480
5,Thu Apr 13 16:18:52 CEST 2017,1492093132100,2321784832
6,Thu Apr 13 16:18:52 CEST 2017,1492093132300,2324856832
7,Thu Apr 13 16:18:52 CEST 2017,1492093132500,2324959232
8,Thu Apr 13 16:18:52 CEST 2017,1492093132700,2325786624
9,Thu Apr 13 16:18:52 CEST 2017,1492093132900,2325794816
10,Thu Apr 13 16:18:53 CEST 2017,1492093133100,2325786624
11,Thu Apr 13 16:18:53 CEST 2017,1492093133300,2325786624
12,Thu Apr 13 16:18:53 CEST 2017,1492093133500,2325786624
13,Thu Apr 13 16:18:53 CEST 2017,1492093133700,2325807104
14,Thu Apr 13 16:18:53 CEST 2017,1492093133900,2325807104
15,Thu Apr 13 16:18:54 CEST 2017,1492093134100,2325831680
16,Thu Apr 13 16:18:54 CEST 2017,1492093134300,2325831680
17,Thu Apr 13 16:18:54 CEST 2017,1492093134500,2325831680
18,Thu Apr 13 16:18:54 CEST 2017,1492093134700,2325831680
19,Thu Apr 13 16:18:54 CEST 2017,1492093134900,2325831680
20,Thu Apr 13 16:18:55 CEST 2017,1492093135100,2325803008
21,Thu Apr 13 16:18:55 CEST 2017,1492093135300,2325299200
22,Thu Apr 13 16:18:55 CEST 2017,1492093135500,2325307392
23,Thu Apr 13 16:18:55 CEST 2017,1492093135700,2325303296
24,Thu Apr 13 16:18:55 CEST 2017,1492093135900,2325303296
25,Thu Apr 13 16:18:56 CEST 2017,1492093136100,2327384064
