#,datetime,ms,OperatingSystemImpl.ProcessCpuTime
1,Thu Apr 13 16:18:51 CEST 2017,1492093131300,10437500000
2,Thu Apr 13 16:18:51 CEST 2017,1492093131500,10562500000
3,Thu Apr 13 16:18:51 CEST 2017,1492093131700,10640625000
4,Thu Apr 13 16:18:51 CEST 2017,1492093131900,10734375000
5,Thu Apr 13 16:18:52 CEST 2017,1492093132100,10812500000
6,Thu Apr 13 16:18:52 CEST 2017,1492093132300,10906250000
7,Thu Apr 13 16:18:52 CEST 2017,1492093132500,11031250000
8,Thu Apr 13 16:18:52 CEST 2017,1492093132700,11140625000
9,Thu Apr 13 16:18:52 CEST 2017,1492093132900,11218750000
10,Thu Apr 13 16:18:53 CEST 2017,1492093133100,11328125000
11,Thu Apr 13 16:18:53 CEST 2017,1492093133300,11406250000
12,Thu Apr 13 16:18:53 CEST 2017,1492093133500,11484375000
13,Thu Apr 13 16:18:53 CEST 2017,1492093133700,11593750000
14,Thu Apr 13 16:18:53 CEST 2017,1492093133900,11671875000
15,Thu Apr 13 16:18:54 CEST 2017,1492093134100,11750000000
16,Thu Apr 13 16:18:54 CEST 2017,1492093134300,11859375000
17,Thu Apr 13 16:18:54 CEST 2017,1492093134500,11937500000
18,Thu Apr 13 16:18:54 CEST 2017,1492093134700,12031250000
19,Thu Apr 13 16:18:54 CEST 2017,1492093134900,12140625000
20,Thu Apr 13 16:18:55 CEST 2017,1492093135100,12218750000
21,Thu Apr 13 16:18:55 CEST 2017,1492093135300,12343750000
22,Thu Apr 13 16:18:55 CEST 2017,1492093135500,12421875000
23,Thu Apr 13 16:18:55 CEST 2017,1492093135700,12515625000
24,Thu Apr 13 16:18:55 CEST 2017,1492093135900,12593750000
25,Thu Apr 13 16:18:56 CEST 2017,1492093136100,12687500000
