#,datetime,ms,OperatingSystemImpl.FreePhysicalMemorySize
26,Thu Apr 13 11:28:09 CEST 2017,1492075689178,2452996096
27,Thu Apr 13 11:28:09 CEST 2017,1492075689378,2451431424
28,Thu Apr 13 11:28:09 CEST 2017,1492075689578,2451427328
29,Thu Apr 13 11:28:09 CEST 2017,1492075689778,2451431424
30,Thu Apr 13 11:28:09 CEST 2017,1492075689978,2451447808
31,Thu Apr 13 11:28:10 CEST 2017,1492075690178,2451456000
32,Thu Apr 13 11:28:10 CEST 2017,1492075690378,2451472384
33,Thu Apr 13 11:28:10 CEST 2017,1492075690578,2451050496
34,Thu Apr 13 11:28:10 CEST 2017,1492075690778,2451054592
35,Thu Apr 13 11:28:10 CEST 2017,1492075690978,2456145920
36,Thu Apr 13 11:28:11 CEST 2017,1492075691178,2456403968
37,Thu Apr 13 11:28:11 CEST 2017,1492075691378,2456977408
38,Thu Apr 13 11:28:11 CEST 2017,1492075691578,2456993792
39,Thu Apr 13 11:28:11 CEST 2017,1492075691778,2457001984
40,Thu Apr 13 11:28:11 CEST 2017,1492075691978,2457018368
41,Thu Apr 13 11:28:12 CEST 2017,1492075692178,2457001984
42,Thu Apr 13 11:28:12 CEST 2017,1492075692378,2456899584
43,Thu Apr 13 11:28:12 CEST 2017,1492075692578,2456887296
44,Thu Apr 13 11:28:12 CEST 2017,1492075692778,2456895488
45,Thu Apr 13 11:28:12 CEST 2017,1492075692978,2456981504
46,Thu Apr 13 11:28:13 CEST 2017,1492075693178,2456997888
47,Thu Apr 13 11:28:13 CEST 2017,1492075693378,2457100288
48,Thu Apr 13 11:28:13 CEST 2017,1492075693578,2457124864
49,Thu Apr 13 11:28:13 CEST 2017,1492075693778,2457096192
50,Thu Apr 13 11:28:13 CEST 2017,1492075693978,2457104384
