#,datetime,ms,OperatingSystemImpl.CommittedVirtualMemorySize
101,Thu Apr 13 11:26:33 CEST 2017,1492075593600,267358208
102,Thu Apr 13 11:26:33 CEST 2017,1492075593800,266534912
103,Thu Apr 13 11:26:34 CEST 2017,1492075594000,266534912
104,Thu Apr 13 11:26:34 CEST 2017,1492075594200,266534912
105,Thu Apr 13 11:26:34 CEST 2017,1492075594400,266534912
106,Thu Apr 13 11:26:34 CEST 2017,1492075594600,266534912
107,Thu Apr 13 11:26:34 CEST 2017,1492075594800,266534912
108,Thu Apr 13 11:26:35 CEST 2017,1492075595000,266534912
109,Thu Apr 13 11:26:35 CEST 2017,1492075595200,266534912
110,Thu Apr 13 11:26:35 CEST 2017,1492075595400,266534912
111,Thu Apr 13 11:26:35 CEST 2017,1492075595600,266534912
112,Thu Apr 13 11:26:35 CEST 2017,1492075595800,266534912
113,Thu Apr 13 11:26:36 CEST 2017,1492075596000,266534912
114,Thu Apr 13 11:26:36 CEST 2017,1492075596200,266534912
115,Thu Apr 13 11:26:36 CEST 2017,1492075596400,266534912
116,Thu Apr 13 11:26:36 CEST 2017,1492075596600,266534912
117,Thu Apr 13 11:26:36 CEST 2017,1492075596800,266534912
118,Thu Apr 13 11:26:37 CEST 2017,1492075597000,266534912
119,Thu Apr 13 11:26:37 CEST 2017,1492075597200,267821056
120,Thu Apr 13 11:26:37 CEST 2017,1492075597400,267821056
121,Thu Apr 13 11:26:37 CEST 2017,1492075597600,267821056
122,Thu Apr 13 11:26:37 CEST 2017,1492075597800,263487488
123,Thu Apr 13 11:26:38 CEST 2017,1492075598000,263487488
124,Thu Apr 13 11:26:38 CEST 2017,1492075598200,263487488
125,Thu Apr 13 11:26:38 CEST 2017,1492075598400,263487488
