#,datetime,ms,OperatingSystemImpl.CommittedVirtualMemorySize
51,Thu Apr 13 11:28:14 CEST 2017,1492075694329,267284480
52,Thu Apr 13 11:28:14 CEST 2017,1492075694529,266362880
53,Thu Apr 13 11:28:14 CEST 2017,1492075694729,266362880
54,Thu Apr 13 11:28:14 CEST 2017,1492075694929,266362880
55,Thu Apr 13 11:28:15 CEST 2017,1492075695129,266362880
56,Thu Apr 13 11:28:15 CEST 2017,1492075695329,266362880
57,Thu Apr 13 11:28:15 CEST 2017,1492075695529,266362880
58,Thu Apr 13 11:28:15 CEST 2017,1492075695729,266362880
59,Thu Apr 13 11:28:15 CEST 2017,1492075695929,266362880
60,Thu Apr 13 11:28:16 CEST 2017,1492075696129,263389184
61,Thu Apr 13 11:28:16 CEST 2017,1492075696329,263389184
62,Thu Apr 13 11:28:16 CEST 2017,1492075696529,263389184
63,Thu Apr 13 11:28:16 CEST 2017,1492075696729,263389184
64,Thu Apr 13 11:28:16 CEST 2017,1492075696929,263389184
65,Thu Apr 13 11:28:17 CEST 2017,1492075697129,263389184
66,Thu Apr 13 11:28:17 CEST 2017,1492075697329,263389184
67,Thu Apr 13 11:28:17 CEST 2017,1492075697529,263389184
68,Thu Apr 13 11:28:17 CEST 2017,1492075697729,263389184
69,Thu Apr 13 11:28:17 CEST 2017,1492075697929,263389184
70,Thu Apr 13 11:28:18 CEST 2017,1492075698129,263389184
71,Thu Apr 13 11:28:18 CEST 2017,1492075698329,265801728
72,Thu Apr 13 11:28:18 CEST 2017,1492075698529,265801728
73,Thu Apr 13 11:28:18 CEST 2017,1492075698729,265801728
74,Thu Apr 13 11:28:18 CEST 2017,1492075698929,265801728
75,Thu Apr 13 11:28:19 CEST 2017,1492075699129,265801728
