#,datetime,ms,OperatingSystemImpl.FreeSwapSpaceSize
1,Thu Apr 13 11:28:14 CEST 2017,1492075694329,2580160512
2,Thu Apr 13 11:28:14 CEST 2017,1492075694529,2580242432
3,Thu Apr 13 11:28:14 CEST 2017,1492075694729,2580434944
4,Thu Apr 13 11:28:14 CEST 2017,1492075694929,2580426752
5,Thu Apr 13 11:28:15 CEST 2017,1492075695129,2580492288
6,Thu Apr 13 11:28:15 CEST 2017,1492075695329,2580611072
7,Thu Apr 13 11:28:15 CEST 2017,1492075695529,2580819968
8,Thu Apr 13 11:28:15 CEST 2017,1492075695729,2580803584
9,Thu Apr 13 11:28:15 CEST 2017,1492075695929,2580787200
10,Thu Apr 13 11:28:16 CEST 2017,1492075696129,2583912448
11,Thu Apr 13 11:28:16 CEST 2017,1492075696329,2583986176
12,Thu Apr 13 11:28:16 CEST 2017,1492075696529,2583969792
13,Thu Apr 13 11:28:16 CEST 2017,1492075696729,2583953408
14,Thu Apr 13 11:28:16 CEST 2017,1492075696929,2583920640
15,Thu Apr 13 11:28:17 CEST 2017,1492075697129,2583904256
16,Thu Apr 13 11:28:17 CEST 2017,1492075697329,2583887872
17,Thu Apr 13 11:28:17 CEST 2017,1492075697529,2583871488
18,Thu Apr 13 11:28:17 CEST 2017,1492075697729,2583855104
19,Thu Apr 13 11:28:17 CEST 2017,1492075697929,2583838720
20,Thu Apr 13 11:28:18 CEST 2017,1492075698129,2583822336
21,Thu Apr 13 11:28:18 CEST 2017,1492075698329,2581323776
22,Thu Apr 13 11:28:18 CEST 2017,1492075698529,2581331968
23,Thu Apr 13 11:28:18 CEST 2017,1492075698729,2581315584
24,Thu Apr 13 11:28:18 CEST 2017,1492075698929,2581299200
25,Thu Apr 13 11:28:19 CEST 2017,1492075699129,2581348352
