#,datetime,ms,OperatingSystemImpl.ProcessCpuTime
76,Thu Apr 13 11:28:14 CEST 2017,1492075694329,10171875000
77,Thu Apr 13 11:28:14 CEST 2017,1492075694529,10250000000
78,Thu Apr 13 11:28:14 CEST 2017,1492075694729,10328125000
79,Thu Apr 13 11:28:14 CEST 2017,1492075694929,10421875000
80,Thu Apr 13 11:28:15 CEST 2017,1492075695129,10500000000
81,Thu Apr 13 11:28:15 CEST 2017,1492075695329,10609375000
82,Thu Apr 13 11:28:15 CEST 2017,1492075695529,10703125000
83,Thu Apr 13 11:28:15 CEST 2017,1492075695729,10781250000
84,Thu Apr 13 11:28:15 CEST 2017,1492075695929,10875000000
85,Thu Apr 13 11:28:16 CEST 2017,1492075696129,10968750000
86,Thu Apr 13 11:28:16 CEST 2017,1492075696329,11046875000
87,Thu Apr 13 11:28:16 CEST 2017,1492075696529,11140625000
88,Thu Apr 13 11:28:16 CEST 2017,1492075696729,11234375000
89,Thu Apr 13 11:28:16 CEST 2017,1492075696929,11312500000
90,Thu Apr 13 11:28:17 CEST 2017,1492075697129,11390625000
91,Thu Apr 13 11:28:17 CEST 2017,1492075697329,11484375000
92,Thu Apr 13 11:28:17 CEST 2017,1492075697529,11562500000
93,Thu Apr 13 11:28:17 CEST 2017,1492075697729,11640625000
94,Thu Apr 13 11:28:17 CEST 2017,1492075697929,11734375000
95,Thu Apr 13 11:28:18 CEST 2017,1492075698129,11812500000
96,Thu Apr 13 11:28:18 CEST 2017,1492075698329,12000000000
97,Thu Apr 13 11:28:18 CEST 2017,1492075698529,12109375000
98,Thu Apr 13 11:28:18 CEST 2017,1492075698729,12187500000
99,Thu Apr 13 11:28:18 CEST 2017,1492075698929,12281250000
100,Thu Apr 13 11:28:19 CEST 2017,1492075699129,12375000000
